creator_id,creator_name,primary_market,markets,languages,followers,engagement_rate,topics,styles,estimated_cost_usd,brand_safety_score,posting_consistency,recent_decline,collaboration_openness,historical_reliability,bio,evidence,risks
C030,Sara Stories,United States,United States,English,242470,4.1,motorcycle|surfing|tech|travel,review|POV,12500,71,0.63,0.2,0.78,0.61,"Sara Stories creates motorcycle, surfing content with a review-first storytelling style.",近10条内容中有7条涉及tech场景|代表视频互动率约4.8%|画面风格以review为主,素材授权范围需确认
C031,Jordan Ridge,United States,United States,English,214500,4.8,cycling|outdoor,POV|vlog,5200,88,0.81,0.0,0.72,0.8,Jordan Ridge films long daylight cycling POV on US fire roads.,Catalog clip: handlebar POV through a full morning ride|Daylight trail is the repeating scene,
C032,Harper Coast,United States,United States,English,388200,3.4,travel|outdoor,cinematic,7800,84,0.7,0.2,0.66,0.77,Harper Coast makes cinematic travel establishes for US coast roads.,Catalog clip: 360 establish of a coastal pullout,档期存在不确定性
C033,Quinn Summit,United States,United States|Mexico,English|Spanish,156800,5.2,skiing|outdoor,POV,6100,79,0.64,0.1,0.8,0.7,Quinn Summit shoots ski POV and bilingual trail notes.,Catalog clip: first-person ski line with snow spray,
C034,Riley Canyon,United States,United States,English,502100,2.9,motorcycle|travel,review|vlog,8800,76,0.58,0.3,0.6,0.82,Riley Canyon reviews motorcycle travel kits in the US southwest.,Catalog clip: tank-bag POV on a desert highway,需确认竞品合作排他
C035,Avery Drift,United States,United States,English,94000,6.4,surfing|outdoor,cinematic|POV,4300,91,0.77,0.0,0.85,0.74,Avery Drift films waterline POV and dawn surf establishes.,Catalog clip: water contact without cutting the take,
C036,Casey Bluff,United States,United States,English,671000,3.1,tech|cycling,tutorial,9900,83,0.69,0.2,0.58,0.88,Casey Bluff teaches camera mounting on gravel bikes.,Catalog clip: tutorial mount plus a long ride cutaway,近期商业内容比例偏高
C037,Morgan Vale,United States,United States|Mexico,English|Spanish,245300,4.1,travel|cycling,vlog|review,7200,86,0.73,0.1,0.7,0.81,Morgan Vale vlogs bilingual bikepacking between US and Mexico.,Catalog clip: camp-morning POV then a road establish,
C038,Reese Harbor,United States,United States,English,118900,5.5,outdoor|travel,POV,3900,90,0.84,0.0,0.78,0.69,Reese Harbor keeps a quiet US hiking POV diary.,Catalog clip: handheld trail POV at golden hour,档期存在不确定性
C039,Skyler Pond,United States,United States,English,833400,2.4,tech|outdoor,review|comparison,11500,74,0.52,0.4,0.5,0.9,Skyler Pond compares outdoor cameras for US reviewers.,Catalog clip: desk review then a short trail cut,报价接近预算上限
C040,Hayden Brook,United States,United States,English,307600,4.6,cycling|travel,cinematic|POV,6400,87,0.75,0.1,0.73,0.76,Hayden Brook films group rides with a 360 establish.,Catalog clip: group-ride establish then rider POV,
C041,Valentina Ruta,Mexico,Mexico,Spanish,188400,5.8,cycling|travel,POV,4100,85,0.71,0.0,0.77,0.72,Valentina Ruta filma ciclismo POV en carreteras mexicanas.,Catalog clip: handlebar POV on a Mexican mountain road,
C042,Santiago Peak,Mexico,Mexico,Spanish,412000,3.3,outdoor|skiing,cinematic,8600,80,0.6,0.2,0.62,0.7,Santiago Peak hace establishes de montaña en México.,Catalog clip: snow spray and a wide valley establish,档期存在不确定性
C043,Regina Sierra,Mexico,Mexico,Spanish,99000,6.0,travel|outdoor,vlog,3500,89,0.82,0.0,0.88,0.68,Regina Sierra vlogea viajes por el interior de México.,Catalog clip: morning market walk into a trailhead POV,
C044,Pablo Costa,Mexico,Mexico,Spanish,276500,4.4,surfing|travel,POV|cinematic,5700,82,0.66,0.1,0.71,0.75,Pablo Costa graba la línea de agua en costas mexicanas.,"Catalog clip: waterline POV, take continues through splash",素材授权范围需确认
C045,Jimena Valle,Mexico,Mexico,Spanish,154200,5.1,cycling|outdoor,tutorial|POV,4800,86,0.79,0.0,0.8,0.73,Jimena Valle enseña montaje de cámara en bicicleta.,Catalog clip: mount tutorial plus a canyon descent,
C046,Andres Nube,Mexico,Mexico,Spanish,521000,2.8,motorcycle|travel,review,10200,77,0.55,0.3,0.54,0.8,Andres Nube reseña kits de moto para audiencias MX.,Catalog clip: tank POV on a dry lake road,需确认竞品合作排他
C047,Fernanda Lago,Mexico,Mexico,Spanish,610000,3.7,travel|tech,review,15500,81,0.5,0.2,0.6,0.71,Fernanda Lago quotes above the US X5 demo budget.,"Catalog clip: city establish, high production",预计成本超预算
C048,Hector Cumbre,United States,United States,English,890000,1.8,tech|outdoor,comparison,14800,73,0.44,0.5,0.4,0.65,Hector Cumbre is a US reviewer priced above the demo cap.,Catalog clip: studio comparison table,预计成本超预算
C049,Daniela Faro,United States,United States,English,142000,4.0,fashion|beauty,vlog,6200,58,0.61,0.2,0.9,0.6,Daniela Faro is a beauty vlog not in the outdoor DNA.,"Catalog clip: indoor studio, no outdoor proof",品牌安全低于门槛
C050,Bruno Sendero,Germany,Germany,German,198000,4.2,skiing|outdoor,POV,7000,84,0.7,0.1,0.67,0.78,Bruno Sendero shoots Alpine ski POV. No DE launch mission in this demo.,Catalog clip: Alps ski line,目标市场不匹配
C051,Catalina Mesa,United States,United States,English,76000,6.8,cycling|outdoor|travel,POV|tutorial,3200,93,0.88,0.0,0.92,0.84,Catalina Mesa is a rising US gravel tutor with high consistency.,Catalog clip: dawn gravel POV held for a long take,
C052,Ignacio Brisa,Mexico,Mexico|United States,Spanish|English,221000,4.9,travel|outdoor,cinematic|vlog,6900,85,0.72,0.1,0.74,0.79,Ignacio Brisa splits cinematic travel between MX and US.,Catalog clip: 360 plaza establish then a trail cut,
C053,Paula Mirador,United States,United States,English,334000,3.8,outdoor|skiing,review|POV,8100,78,0.63,0.2,0.69,0.77,Paula Mirador reviews ski touring kits with on-snow POV.,Catalog clip: skin-track POV and a summit establish,
C054,Tomas Sendero,Mexico,Mexico,Spanish,167800,5.4,cycling|motorcycle,vlog,4400,80,0.68,0.0,0.76,0.7,Tomas Sendero vlogea rutas mixtas bici y moto en México.,Catalog clip: mixed-surface POV,
C055,Nia Hollow,United States,United States,English,98000,5.9,outdoor|travel|cycling,POV|cinematic,4100,92,0.86,0.0,0.83,0.8,Nia Hollow is a high-momentum US trail diarist.,"Catalog clip: dusk trail POV, long take",
C056,Owen Kite,United States,United States,English,455000,2.6,tech|travel,tutorial,10800,75,0.49,0.4,0.51,0.83,Owen Kite teaches travel-tech packing for US audiences.,Catalog clip: packing table then an airport-to-trail jump,近期表现存在下滑
C057,Mila Ridgeway,United States,United States|Mexico,English|Spanish,289000,4.3,cycling|travel|outdoor,POV|review,7400,88,0.76,0.1,0.7,0.82,Mila Ridgeway reviews bike bags with bilingual POV.,Catalog clip: bag-mount POV across a border highway,
C058,Kai Stillwater,United States,United States,English,121000,6.1,surfing|outdoor,POV,3600,90,0.8,0.0,0.86,0.71,Kai Stillwater films quiet waterline POV in the US Pacific.,Catalog clip: splash take that does not cut,
C059,Yara Campo,Mexico,Mexico,Spanish,203000,4.7,outdoor|travel,cinematic,5900,83,0.7,0.1,0.68,0.74,Yara Campo hace cine de paisajes del norte de México.,Catalog clip: wide desert establish,
C060,Felix North,United States,United States,English,512000,3.0,motorcycle|outdoor|tech,comparison|vlog,11900,72,0.57,0.3,0.55,0.86,Felix North sits at the safety and cost edge of the US mission.,Catalog clip: bike-to-trail comparison,报价接近预算上限
